label,text,length,cleaned_text
ham,havent planning to buy later i check already lido only got show in e afternoon u finish work already ,107,havent plan buy later check alreadi lido got show e afternoon u finish work alreadi
spam,your free ringtone is waiting to be collected simply text the password mix to to verify get usher and britney fml,125,free rington wait collect simpli text password mix verifi get usher britney fml
ham,watching telugu movie wat abt u ,33,watch telugu movi wat abt u
ham,i see when we finish we have loads of loans to pay,51,see finish load loan pay
ham,hi wk been ok on hols now yes on for a bit of a run forgot that i have hairdressers appointment at four so need to get home n shower beforehand does that cause prob for u ham ,184,hi wk ok hol ye bit run forgot hairdress appoint four need get home n shower beforehand caus prob u ham
ham,please don t text me anymore i have nothing else to say ,57,pleas text anymor noth els say
ham,okay name ur price as long as its legal wen can i pick them up y u ave x ams xx,81,okay name ur price long legal wen pick u ave x am xx
ham,i m still looking for a car to buy and have not gone the driving test yet ,76,still look car buy gone drive test yet
ham,wow you re right i didn t mean to do that i guess once i gave up on boston men and changed my search location to nyc something changed cuz on my signin page it still says boston ,183,wow right mean guess gave boston men chang search locat nyc someth chang cuz signin page still say boston
ham,umma my life and vava umma love you lot dear,44,umma life vava umma love lot dear
ham,thanks a lot for your wishes on my birthday thanks you for making my birthday truly memorable ,95,thank lot wish birthday thank make birthday truli memor
ham,aight i ll hit you up when i get some cash,43,aight hit get cash
ham,how would my ip address test that considering my computer isn t a minecraft server,82,would ip address test consid comput minecraft server
ham,i know grumpy old people my mom was like you better not be lying then again i am always the one to play jokes ,115,know grumpi old peopl mom like better lie alway one play joke
ham,dont worry i guess he s busy ,30,dont worri guess busi
ham,what is the plural of the noun research ,40,plural noun research
ham,going for dinner msg you after ,31,go dinner msg
ham,i m ok wif it cos i like try new things but i scared u dun like mah cos u said not too loud ,96,ok wif co like tri new thing scare u dun like mah co u said loud
spam,gent we are trying to contact you last weekends draw shows that you won a å prize guaranteed call claim code k valid hrs only ppm,159,gent tri contact last weekend draw show å prize guarante call claim code k valid hr ppm
ham,wa ur openin sentence very formal anyway i m fine too juz tt i m eatin too much n puttin on weight haha so anythin special happened ,143,wa ur openin sentenc formal anyway fine juz tt eatin much n puttin weight haha anythin special happen
ham,as i entered my cabin my pa said happy b day boss i felt special she askd me lunch after lunch she invited me to her apartment we went there ,156,enter cabin pa said happi b day boss felt special askd lunch lunch invit apart went
spam,you are a winner u have been specially selected receive å or a holiday flights inc speak to a live operator claim p min ,153,winner u special select receiv å holiday flight inc speak live oper claim p min
ham,goodo yes we must speak friday egg potato ratio for tortilla needed ,72,goodo ye must speak friday egg potato ratio tortilla need
ham,hmm my uncle just informed me that he s paying the school directly so pls buy food ,86,hmm uncl inform pay school directli pl buy food
spam,private your account statement for shows unredeemed bonus points to claim call identifier code expires,144,privat account statement show unredeem bonu point claim call identifi code expir
spam,urgent your mobile no was awarded å bonus caller prize on this is our final try to contact u call from landline box wr c ppm,157,urgent mobil award å bonu caller prize final tri contact u call landlin box wr c ppm
ham,here is my new address apples pairs all that malarky,53,new address appl pair malarki
spam,todays voda numbers ending are selected to receive a award if you have a match please call quoting claim code standard rates app,156,today voda number end select receiv award match pleas call quot claim code standard rate app
ham,i am going to sao mu today will be done only at ,52,go sao mu today done
ham,ìï predict wat time ì ll finish buying ,40,ìï predict wat time ì finish buy
ham,good stuff will do ,20,good stuff
ham,just so that you know yetunde hasn t sent money yet i just sent her a text not to bother sending so its over you dont have to involve yourself in anything i shouldn t have imposed anything on you in the first place so for that i apologise ,244,know yetund sent money yet sent text bother send dont involv anyth impos anyth first place apologis
ham,are you there in room ,22,room
ham,hey girl how r u hope u r well me an del r bak again long time no c give me a call sum time from lucyxx,107,hey girl r u hope u r well del r bak long time c give call sum time lucyxx
ham,k k how much does it cost ,28,k k much cost
ham,i m home ,9,home
ham,dear will call tmorrow pls accomodate ,39,dear call tmorrow pl accomod
ham,first answer my question ,25,first answer question
spam,sunshine quiz wkly q win a top sony dvd player if u know which country the algarve is in txt ansr to å sp tyrone,126,sunshin quiz wkli q win top soni dvd player u know countri algarv txt ansr å sp tyron
spam,want get laid tonight want real dogging locations sent direct ur mob join the uk s largest dogging network bt txting gravel to nt ec a p msg p,162,want get laid tonight want real dog locat sent direct ur mob join uk largest dog network bt txting gravel nt ec p msg p
ham,i only haf msn it s yijue hotmail com,38,haf msn yiju hotmail com
ham,he is there you call and meet him,34,call meet
ham,no no i will check all rooms befor activities,46,check room befor activ
spam,you ll not rcv any more msgs from the chat svc for free hardcore services text go to if u get nothing u must age verify with yr network try again,155,rcv msg chat svc free hardcor servic text go u get noth u must age verifi yr network tri
ham,got c i lazy to type i forgot ì in lect i saw a pouch but like not v nice ,86,got c lazi type forgot ì lect saw pouch like v nice
ham,k text me when you re on the way,33,k text way
ham,sir waiting for your mail ,27,sir wait mail
ham,a swt thought nver get tired of doing little things lovable persons coz somtimes those little things occupy d biggest part in their hearts gud ni ,158,swt thought nver get tire littl thing lovabl person coz somtim littl thing occupi biggest part heart gud ni
ham,i know you are can you pls open the back ,42,know pl open back
ham,yes see ya not on the dot,25,ye see ya dot
ham,whats the staff name who is taking class for us ,48,what staff name take class us
spam,freemsg why haven t you replied to my text i m randy sexy female and live local luv to hear from u netcollex ltd p per msg reply stop to end,159,freemsg repli text randi sexi femal live local luv hear u netcollex ltd p per msg repli stop end
ham,ummma will call after check in our life will begin from qatar so pls pray very hard ,84,ummma call check life begin qatar pl pray hard
ham,k i deleted my contact that why ,33,k delet contact
ham,sindu got job in birla soft ,30,sindu got job birla soft
ham,the wine is flowing and i m i have nevering ,45,wine flow never
ham,yup i thk cine is better cos no need go down plaza mah ,59,yup thk cine better co need go plaza mah
ham,ok ur typical reply ,25,ok ur typic repli
ham,you are everywhere dirt on the floor the windows even on my shirt and sometimes when i open my mouth you are all that comes flowing out i dream of my world without you then half my chores are out too a time of joy for me lots of tv shows i ll see but i guess like all things you just must exist like rain hail and mist and when my time here is done you and i become one ,384,everywher dirt floor window even shirt sometim open mouth come flow dream world without half chore time joy lot tv show see guess like thing must exist like rain hail mist time done becom one
ham,aaooooright are you at work ,28,aaooooright work
ham,i m leaving my house now ,27,leav hous
ham,hello my love what are you doing did you get to that interview today are you you happy are you being a good boy do you think of me are you missing me ,157,hello love get interview today happi good boy think miss
spam,customer service annoncement you have a new years delivery waiting for you please call now to arrange delivery,124,custom servic annonc new year deliveri wait pleas call arrang deliveri
spam,you are a winner u have been specially selected receive å cash or a holiday flights inc speak to a live operator claim ,146,winner u special select receiv å cash holiday flight inc speak live oper claim
ham,keep yourself safe for me because i need you and i miss you already and i envy everyone that see s you in real life,115,keep safe need miss alreadi envi everyon see real life
ham,new car and house for my parents i have only new job in hand ,64,new car hous parent new job hand
ham,i m so in love with you i m excited each day i spend with you you make me so happy ,85,love excit day spend make happi
spam, pls stop bootydelious f is inviting you to be her friend reply yes or no see her www sms ac u bootydelious stop send stop frnd to ,152,pl stop bootydeli f invit friend repli ye see www sm ac u bootydeli stop send stop frnd
spam,bangbabes ur order is on the way u should receive a service msg download ur content if u do not goto wap bangb tv on ur mobile internet service menu,155,bangbab ur order way u receiv servic msg download ur content u goto wap bangb tv ur mobil internet servic menu
ham,i place all ur points on e cultures module already ,51,place ur point e cultur modul alreadi
spam,urgent we are trying to contact you last weekends draw shows that you have won a å prize guaranteed call claim code s valid hrs only,157,urgent tri contact last weekend draw show å prize guarante call claim code valid hr
ham,hi frnd which is best way to avoid missunderstding wit our beloved one s ,74,hi frnd best way avoid missunderstd wit belov one
ham,great escape i fancy the bridge but needs her lager see you tomo ,67,great escap fanci bridg need lager see tomo
ham,yes it completely in out of form clark also utter waste ,59,ye complet form clark also utter wast
ham,sir i need axis bank account no and bank address ,50,sir need axi bank account bank address
ham,hmmm thk sure got time to hop ard ya can go free abt muz call u to discuss liao ,94,hmmm thk sure got time hop ard ya go free abt muz call u discuss liao
ham,what time you coming down later ,33,time come later
ham,bloody hell cant believe you forgot my surname mr ill give u a clue its spanish and begins with m ,105,bloodi hell cant believ forgot surnam mr ill give u clue spanish begin
ham,well i m gonna finish my bath now have a good fine night ,61,well gonna finish bath good fine night
ham,let me know when you ve got the money so carlos can make the call,65,let know got money carlo make call
ham,u still going to the mall ,26,u still go mall
ham,turns out my friends are staying for the whole show and won t be back til lt gt so feel free to go ahead and smoke that lt gt worth,146,turn friend stay whole show back til lt gt feel free go ahead smoke lt gt worth
ham,text her if she doesnt reply let me know so i can have her log in,66,text doesnt repli let know log
ham,hi you just spoke to maneesha v we d like to know if you were satisfied with the experience reply toll free with yes or no ,126,hi spoke maneesha v like know satisfi experi repli toll free ye
ham,you lifted my hopes with the offer of money i am in need especially when the end of the month approaches and it hurts my studying anyways have a gr weekend,159,lift hope offer money need especi end month approach hurt studi anyway gr weekend
ham,lol no u can trust me ,23,lol u trust
ham,ok i am a gentleman and will treat you with dignity and respect ,65,ok gentleman treat digniti respect
ham,he will you guys close ,24,guy close
ham,going on nothing great bye,26,go noth great bye
ham,hello handsome are you finding that job not being lazy working towards getting back that net for mummy where s my boytoy now does he miss me ,152,hello handsom find job lazi work toward get back net mummi boytoy miss
ham,haha awesome be there in a minute,34,haha awesom minut
spam,please call our customer service representative on freephone between am pm as you have won a guaranteed å cash or å prize ,149,pleas call custom servic repres freephon pm guarante å cash å prize
ham,have you got xmas radio times if not i will get it now,55,got xma radio time get
ham,i jus reached home i go bathe first but my sis using net tell u when she finishes k ,88,ju reach home go bath first si use net tell u finish k
spam,are you unique enough find out from th august www areyouunique co uk,72,uniqu enough find th august www areyouuniqu co uk
ham,i m sorry i ve joined the league of people that dont keep in touch you mean a great deal to me you have been a friend at all times even at great personal cost do have a great week ,185,sorri join leagu peopl dont keep touch mean great deal friend time even great person cost great week
ham,hi finally i completed the course ,37,hi final complet cours
ham,it will stop on itself i however suggest she stays with someone that will be able to give ors for every stool ,111,stop howev suggest stay someon abl give or everi stool
ham,how are you doing hope you ve settled in for the new school year just wishin you a gr day,92,hope settl new school year wishin gr day
ham,gud mrng dear hav a nice day,28,gud mrng dear hav nice day
ham,did u got that persons story,28,u got person stori
ham,is your hamster dead hey so tmr i meet you at pm orchard mrt ,64,hamster dead hey tmr meet pm orchard mrt
ham,hi its kate how is your evening i hope i can see you tomorrow for a bit but i have to bloody babyjontet txt back if u can xxx,131,hi kate even hope see tomorrow bit bloodi babyjontet txt back u xxx
ham,found it enc lt gt where you at ,40,found enc lt gt
ham,i sent you lt gt bucks,28,sent lt gt buck
ham,hello darlin ive finished college now so txt me when u finish if u can love kate xxx,84,hello darlin ive finish colleg txt u finish u love kate xxx
ham,your account has been refilled successfully by inr lt decimal gt your keralacircle prepaid account balance is rs lt decimal gt your transaction id is kr lt gt ,174,account refil success inr lt decim gt keralacircl prepaid account balanc rs lt decim gt transact id kr lt gt
ham,goodmorning sleeping ga ,24,goodmorn sleep ga
ham,u call me alter at ok ,25,u call alter ok
ham,ìï say until like dat i dun buy ericsson oso cannot oredi lar ,64,ìï say like dat dun buy ericsson oso cannot oredi lar
ham,aight yo dats straight dogg,28,aight yo dat straight dogg
ham,you please give us connection today itself before lt decimal gt or refund the bill,86,pleas give us connect today lt decim gt refund bill
ham,both i shoot big loads so get ready ,39,shoot big load get readi
ham,what s up bruv hope you had a great break do have a rewarding semester ,73,bruv hope great break reward semest
ham,home so we can always chat,26,home alway chat
ham,k k good study well ,23,k k good studi well
ham,yup how ì noe leh ,24,yup ì noe leh
ham,sounds great are you home now ,31,sound great home
ham,finally the match heading towards draw as your prediction ,58,final match head toward draw predict
ham,tired i haven t slept well the past few nights ,48,tire slept well past night
ham,easy ah sen got selected means its good ,41,easi ah sen got select mean good
ham,i have to take exam with march ,32,take exam march
ham,yeah you should i think you can use your gt atm now to register not sure but if there s anyway i can help let me know but when you do be sure you are ready ,159,yeah think use gt atm regist sure anyway help let know sure readi
ham,ok no prob take ur time ,25,ok prob take ur time
ham,there is os called ubandu which will run without installing in hard disk you can use that os to copy the important files in system and give it to repair shop ,161,os call ubandu run without instal hard disk use os copi import file system give repair shop
ham,u say leh of course nothing happen lar not say v romantic jus a bit only lor i thk e nite scenery not so nice leh ,119,u say leh cours noth happen lar say v romant ju bit lor thk e nite sceneri nice leh
spam, new mobiles from must go txt nokia to no collect yours today from only å www tc biz optout gbp mtmsg ,143,new mobil must go txt nokia collect today å www tc biz optout gbp mtmsg
ham,would really appreciate if you call me just need someone to talk to ,69,would realli appreci call need someon talk
spam,will u meet ur dream partner soon is ur career off a flyng start find out free txt horo followed by ur star sign e g horo aries,137,u meet ur dream partner soon ur career flyng start find free txt horo follow ur star sign e g horo ari
ham,hey company elama po mudyadhu ,30,hey compani elama po mudyadhu
ham,life is more strict than teacher bcoz teacher teaches lesson amp then conducts exam but life first conducts exam amp then teaches lessons happy morning ,165,life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happi morn
ham,dear good morning now only i am up,34,dear good morn
ham,get down in gandhipuram and walk to cross cut road right side lt gt street road and turn at first right ,109,get gandhipuram walk cross cut road right side lt gt street road turn first right
ham,dear we are going to our rubber place,37,dear go rubber place
ham,sorry battery died yeah i m here,33,sorri batteri die yeah
ham,yes here tv is always available in work place ,48,ye tv alway avail work place
spam,text meet someone sexy today u can find a date or even flirt its up to u join just p reply with name age eg sam msg recd thirtyeight pence,157,text meet someon sexi today u find date even flirt u join p repli name age eg sam msg recd thirtyeight penc
ham,i have printed it oh so lt gt come upstairs,50,print oh lt gt come upstair
ham,or ill be a little closer like at the bus stop on the same street,65,ill littl closer like bu stop street
ham,where are you when wil you reach here ,38,wil reach
ham,new theory argument wins d situation but loses the person so dont argue with ur friends just kick them amp say i m always correct ,145,new theori argument win situat lose person dont argu ur friend kick amp say alway correct
spam,u have a secret admirer who is looking make contact with u find out who they r reveal who thinks ur so special call on ,145,u secret admir look make contact u find r reveal think ur special call
ham,tomarrow final hearing on my laptop case so i cant ,51,tomarrow final hear laptop case cant
ham,pleassssssseeeeee tel me v avent done sportsx,45,pleassssssseeeee tel v avent done sportsx
ham,okay no no just shining on that was meant to be signing but that sounds better ,83,okay shine meant sign sound better
ham,although i told u dat i m into baig face watches now but i really like e watch u gave cos it s fr u thanx everything dat u ve done today i m touched ,155,although told u dat baig face watch realli like e watch u gave co fr u thanx everyth dat u done today touch
ham,u don t remember that old commercial ,37,u rememb old commerci
ham,too late i said i have the website i didn t i have or dont have the slippers,78,late said websit dont slipper
ham,i asked you to call him now ok,30,ask call ok
ham,kallis wont bat in nd innings ,31,kalli wont bat nd inning
ham,it didnt work again oh ok goodnight then i ll fix and have it ready by the time you wake up you are very dearly missed have a good night sleep ,146,didnt work oh ok goodnight fix readi time wake dearli miss good night sleep
spam,congratulations ur awarded of cd vouchers or gift guaranteed free entry wkly draw txt music to tncs www ldew com win ppmx age ,150,congratul ur award cd voucher gift guarante free entri wkli draw txt music tnc www ldew com win ppmx age
ham,ranjith cal drpd deeraj and deepak min hold,44,ranjith cal drpd deeraj deepak min hold
ham,wen ur lovable bcums angry wid u dnt take it seriously coz being angry is d most childish n true way of showing deep affection care n luv kettoda manda have nice day da ,179,wen ur lovabl bcum angri wid u dnt take serious coz angri childish n true way show deep affect care n luv kettoda manda nice day da
ham,what you doing how are you ,27,
ham,ups which is days also and the shipping company that takes wks the other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff ,179,up day also ship compani take wk way usp take week get lag may bribe nipost get stuff
ham,i m back lemme know when you re ready,38,back lemm know readi
ham,don t necessarily expect it to be done before you get back though because i m just now headin out,97,necessarili expect done get back though headin
ham,mmm so yummy babe nice jolt to the suzy,43,mmm yummi babe nice jolt suzi
ham,where are you lover i need you ,36,lover need
spam,we tried to contact you re your reply to our offer of a video handset anytime networks mins unlimited text camcorder reply or call now,154,tri contact repli offer video handset anytim network min unlimit text camcord repli call
ham,i û m parked next to a mini when are you coming in today do you think ,74,û park next mini come today think
ham,yup,3,yup
ham,anyway i m going shopping on my own now cos my sis not done yet dun disturb u liao ,85,anyway go shop co si done yet dun disturb u liao
ham,my no in luton ring me if ur around h ,51,luton ring ur around h
spam,hey i am really horny want to chat or see me naked text hot to text charged at pm to unsubscribe text stop ,121,hey realli horni want chat see nake text hot text charg pm unsubscrib text stop
ham,why you dint come with us ,26,dint come us
ham,same wana plan a trip sometme then,35,wana plan trip sometm
ham,not sure yet still trying to get a hold of him,47,sure yet still tri get hold
spam,ur ringtone service has changed free credits go to club mobiles com to choose content now stop txt club stop to p wk club po box mk wt,159,ur rington servic chang free credit go club mobil com choos content stop txt club stop p wk club po box mk wt
ham,the evo i just had to download flash jealous ,47,evo download flash jealou
spam,ringtone club get the uk singles chart on your mobile each week and choose any top quality ringtone this message is free of charge ,133,rington club get uk singl chart mobil week choos top qualiti rington messag free charg
ham,come to mu we re sorting out our narcotics situation,53,come mu sort narcot situat
ham,night has ended for another day morning has come in a special way may you smile like the sunny rays and leaves your worries at the blue blue bay ,147,night end anoth day morn come special way may smile like sunni ray leav worri blue blue bay
spam,hmv bonus special pounds of genuine hmv vouchers to be won just answer easy questions play now send hmv to more info www percent real com,155,hmv bonu special pound genuin hmv voucher answer easi question play send hmv info www percent real com
ham,usf i guess might as well take car,37,usf guess might well take car
ham,no objection my bf not coming ,31,object bf come
ham,thanx ,8,thanx
ham,tell rob to mack his gf in the theater,38,tell rob mack gf theater
ham,awesome i ll see you in a bit,30,awesom see bit
ham,just sent it so what type of food do you like ,47,sent type food like
ham,all done all handed in celebrations in full swing yet ,56,done hand celebr full swing yet
ham,you got called a tool ,22,got call tool
ham, wen u miss someone,19,wen u miss someon
ham,ok i asked for money how far,29,ok ask money far
ham,okie ,7,oki
ham,yeah i think my usual guy s still passed out from last night if you get ahold of anybody let me know and i ll throw down,121,yeah think usual guy still pass last night get ahold anybodi let know throw
ham,k i might come by tonight then if my class lets out early,58,k might come tonight class let earli
ham,ok ,4,ok
ham,hi baby im cruisin with my girl friend what r u up give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,148,hi babi im cruisin girl friend r u give call hour home that alright fone fone love jenni xxx
